Q,CC,MaxCC
0.354,34643,254
0.355,34357,146
0.356,34099,162
0.357,34137,180
0.358,34091,209
0.359,33311,209
0.36,33636,167
0.361,33333,189
0.362,33123,184
0.363,33052,157
0.364,32777,156
0.365,33064,143
0.366,32166,211
0.367,32482,165
0.368,32216,334
0.369,32079,206
0.37,31572,222
0.371,31677,257
0.372,31674,224
0.373,31458,222
0.374,31173,244
0.375,30697,196
0.376,30972,192
0.377,30472,225
0.378,29734,194
0.379,30109,199
0.38,29623,247
0.381,30074,196
0.382,29602,481
0.383,29591,238
0.384,28988,224
0.385,28766,291
0.386,29169,227
0.387,28625,224
0.388,28724,286
0.389,28452,217
0.39,28123,345
0.391,27832,229
0.392,28051,374
0.393,27618,357
0.394,27328,261
0.395,27213,360
0.396,27185,381
0.397,26604,266
0.398,27033,368
0.399,26491,351
0.4,26089,386
0.401,26221,500
0.402,25920,307
0.403,25454,409
0.404,25413,330
0.405,25368,365
0.406,25230,359
0.407,24702,415
0.408,24757,378
0.409,24660,428
0.41,24516,607
0.411,24085,457
0.412,24253,463
0.413,23562,451
0.414,23896,569
0.415,23208,458
0.416,23389,478
0.417,22892,756
0.418,22706,507
0.419,22734,552
0.42,22761,469
0.421,22040,880
0.422,22205,728
0.423,21798,673
0.424,21808,586
0.425,21584,579
0.426,21545,564
0.427,21457,713
0.428,20935,770
0.429,21042,671
0.43,20475,591
0.431,20399,724
0.432,20221,699
0.433,20141,912
0.434,19982,862
0.435,19832,917
0.436,19332,646
0.437,19417,1022
0.438,19152,1166
0.439,18877,1070
0.44,18892,963
0.441,18481,1174
0.442,18824,1402
0.443,18372,1082
0.444,17974,1113
0.445,18007,1009
0.446,17543,1317
0.447,17443,1482
0.448,17346,1028
0.449,16981,1548
0.45,17177,1847
0.451,16847,1878
0.452,16656,1668
0.453,16265,2440
0.454,16083,1503
0.455,16175,2530
0.456,16130,2090
0.457,15658,1979
0.458,15542,1974
0.459,15366,3662
0.46,15207,2001
0.461,15004,2191
0.462,15105,1918
0.463,14690,2641
0.464,14076,2452
0.465,14260,2501
0.466,13997,2394
0.467,13869,2906
0.468,13814,3255
0.469,13902,2429
0.47,13655,3568
0.471,13338,7792
0.472,13149,5267
0.473,13138,4250
0.474,12893,5497
0.475,12704,4855
0.476,12167,4805
0.477,12488,4940
0.478,12315,10057
0.479,12062,7234
0.48,11785,12171
0.481,11792,8791
0.482,11592,9273
0.483,11198,8150
0.484,11281,9564
0.485,11298,11986
0.486,11228,7214
0.487,10828,17105
0.488,10575,8937
0.489,10721,42603
0.49,10337,17188
0.491,10234,32693
0.492,10107,33550
0.493,10074,21503
0.494,9793,32286
0.495,9934,40600
0.496,9651,33618
0.497,9678,70627
0.498,9355,45246
0.499,9145,125210
0.5,9125,110282
0.501,8706,120037
0.502,8786,117338
0.503,8615,141594
0.504,8566,145420
0.505,8671,74942
0.506,8518,172376
0.507,7977,178013
0.508,8187,189286
0.509,8087,185178
0.51,7910,184767
0.511,7726,207563
0.512,7532,207598
0.513,7679,198579
0.514,7632,207413
0.515,7367,218013
0.516,7311,209772
0.517,6919,220475
0.518,7254,216644
0.519,6952,216706
0.52,6873,220047
0.521,6750,223329
0.522,6680,224050
0.523,6743,228439
0.524,6490,231122
0.525,6348,232664
0.526,6252,231851
0.527,6249,231414
0.528,6029,236696
0.529,6001,232267
0.53,6007,239367
0.531,5711,239957
0.532,5716,243268
0.533,5786,241367
0.534,5541,242756
0.535,5546,244917
0.536,5403,246627
0.537,5518,245501
0.538,5274,249188
0.539,5188,247736
0.54,5318,251109
0.541,5074,251940
0.542,4946,254351
0.543,4944,255101
0.544,4871,255374
0.545,4814,255344
0.546,4781,256479
0.547,4713,256257
0.548,4587,258825
0.549,4454,260130
0.55,4541,260085
0.551,4400,261919
0.552,4484,261426
0.553,4270,262508
0.554,4219,262643
0.555,4096,264701
0.556,4217,264823
0.557,4014,266204
0.558,4039,266667
0.559,3858,267517
0.56,3918,267786
0.561,3684,269705
0.562,3734,270217
0.563,3647,270909
0.564,3607,271818
0.565,3571,272442
0.566,3398,274768
0.567,3469,273691
0.568,3430,274198
0.569,3273,275102
0.57,3462,275351
0.571,3312,275807
0.572,3144,277255
0.573,3146,279221
0.574,3072,279798
0.575,3043,279668
0.576,3014,280040
0.577,2875,281382
0.578,2951,281797
0.579,2919,282448
0.58,2827,282872
0.581,2960,282121
0.582,2658,284822
0.583,2769,284649
0.584,2648,286040
0.585,2629,286707
0.586,2648,286117
0.587,2375,288936
0.588,2581,287561
0.589,2367,289771
0.59,2414,289445
0.591,2429,289533
0.592,2436,290209
0.593,2391,290458
0.594,2325,291646
0.595,2226,292867
0.596,2204,293148
0.597,2094,294338
0.598,2238,293471
0.599,2122,294765
0.6,1973,296826
0.601,2076,296579
0.602,2011,296967
0.603,2020,296954
0.604,2013,297429
0.605,1901,298765
0.606,1909,299536
0.607,1878,300200
0.608,1830,300373
0.609,1823,301460
0.61,1739,301697
0.611,1796,302568
0.612,1726,303207
0.613,1751,303050
0.614,1614,304017
0.615,1658,303748
0.616,1673,305167
0.617,1670,305191
0.618,1582,306086
0.619,1579,306817
0.62,1509,307335
0.621,1491,307635
0.622,1493,308140
0.623,1405,309050
0.624,1506,308961
0.625,1465,310274
0.626,1395,310056
0.627,1358,311165
0.628,1405,311192
0.629,1306,312836
0.63,1304,313094
0.631,1258,313278
0.632,1266,314082
0.633,1284,314605
0.634,1247,314954
0.635,1192,315501
0.636,1137,316755
0.637,1117,316581
0.638,1103,316796
0.639,1062,318483
0.64,1160,317962
0.641,1050,318962
0.642,1034,319524
0.643,1052,319928
0.644,968,320978
0.645,1000,320771
0.646,974,321161
0.647,1008,322080
0.648,974,322531
0.649,932,323119
0.65,903,323819
0.651,886,323969
0.652,946,325168
0.653,921,325331
0.654,897,325057
0.655,813,326601
0.656,795,326906
0.657,832,327534
0.658,753,328390
0.659,812,328682
0.66,745,329129
0.661,793,329832
0.662,683,330180
0.663,735,331132
0.664,678,332106
0.665,751,330985
0.666,656,332606
0.667,666,333205
0.668,679,332919
0.669,639,333869
0.67,644,334402
0.671,598,334931
0.672,640,335225
0.673,583,335814
0.674,573,336685
0.675,541,336855
0.676,543,337679
0.677,507,337922
0.678,524,338356
0.679,517,339134
0.68,520,340056
0.681,513,339668
0.682,494,341354
0.683,482,341396
0.684,472,341213
0.685,479,342040
0.686,430,343021
0.687,470,343643
0.688,437,343523
0.689,432,344330
0.69,453,345364
0.691,476,344748
0.692,450,346031
0.693,415,347024
0.694,390,346814
0.695,390,347053
0.696,389,348228
0.697,401,348167
0.698,369,349186
0.699,358,349637
0.7,341,349737
0.701,382,350570
0.702,396,350746
0.703,338,351275
0.704,352,351353
0.705,322,352116
0.706,332,353180
0.707,355,353319
0.708,317,354318
0.709,280,354742
0.71,259,355069
0.711,317,355415
0.712,286,356193
0.713,269,356432
0.714,269,356511
0.715,243,357871
0.716,266,357634
0.717,228,358766
0.718,219,359346
0.719,257,360094
0.72,246,360489
0.721,238,360931
0.722,232,360776
0.723,219,361323
0.724,228,362022
0.725,240,363017
0.726,227,363334
0.727,219,362831
0.728,201,364858
0.729,195,364517
0.73,166,364649
0.731,170,365300
0.732,185,366279
0.733,197,366882
0.734,178,366752
0.735,187,368393
0.736,169,368391
0.737,191,368552
0.738,184,369297
0.739,165,369995
0.74,133,370003
0.741,140,370594
0.742,145,370952
0.743,119,371813
0.744,158,372128
0.745,133,372345
0.746,141,373495
0.747,140,373365
0.748,151,374154
0.749,113,374785
0.75,130,375471
0.751,125,375419
0.752,124,376172
0.753,126,376909
0.754,126,377077
0.755,107,377407
0.756,127,377964
0.757,125,378563
0.758,89,379663
0.759,106,379456
0.76,100,380156
0.761,114,380523
0.762,80,381164
0.763,95,381438
0.764,92,382124
0.765,87,382931
0.766,86,383226
0.767,97,383077
0.768,75,384047
0.769,77,384932
0.77,68,385338
0.771,85,385938
0.772,68,386436
0.773,60,386667
0.774,71,387369
0.775,81,387885
0.776,53,388149
0.777,68,389291
0.778,51,389778
0.779,63,389526
0.78,47,390486
0.781,64,390777
0.782,62,391246
0.783,72,391491
0.784,60,392363
0.785,51,392678
0.786,44,393474
0.787,44,393363
0.788,58,394317
0.789,47,394641
0.79,41,395541
0.791,41,395801
0.792,37,396170
0.793,53,396633
0.794,36,397516
0.795,31,398280
0.796,36,398339
0.797,32,399233
0.798,33,399613
0.799,39,399810
0.8,35,400051
0.801,27,400830
0.802,29,400980
0.803,32,401710
0.804,23,402505
0.805,34,402463
0.806,35,403460
0.807,36,403976
0.808,30,404138
0.809,28,404639
0.81,22,405301
0.811,23,405552
0.812,36,406457
0.813,17,406914
0.814,24,407677
0.815,20,407960
0.816,13,408160
0.817,25,409121
0.818,22,409421
0.819,23,409512
0.82,12,410370
0.821,28,410612
0.822,24,411983
0.823,14,411841
0.824,16,412600
0.825,15,413075
0.826,15,413651
0.827,23,414100
0.828,18,414330
0.829,20,414384
0.83,8,414912
0.831,22,415871
0.832,20,416734
0.833,10,417178
0.834,14,417588
0.835,11,417264
0.836,12,418310
0.837,11,419052
0.838,10,419701
0.839,17,420002
0.84,10,420260
0.841,9,420882
0.842,11,421406
0.843,12,421759
0.844,11,422320
0.845,7,422904
0.846,8,423374
0.847,2,423715
0.848,8,424121
0.849,9,424726
0.85,5,425327
0.851,10,426212
0.852,8,426680
0.853,8,426702
0.854,6,427860
0.855,7,428207
0.856,9,428267
0.857,5,428800
0.858,4,429669
0.859,6,430223
0.86,7,430885
0.861,6,430617
0.862,9,431440
0.863,3,431841
0.864,3,432267
0.865,4,432694
0.866,6,433153
0.867,3,433688
0.868,6,434484
0.869,5,435033
0.87,2,435602
0.871,4,435989
0.872,3,436098
0.873,2,436884
0.874,6,437528
0.875,6,437879
0.876,2,438538
0.877,3,439070
0.878,2,439388
0.879,3,439692
0.88,5,440369
0.881,4,441052
0.882,3,441470
0.883,1,441688
0.884,6,442227
0.885,3,442760
0.886,1,443210
0.887,4,443676
0.888,1,444857
0.889,2,445127
0.89,1,445688
0.891,4,445682
0.892,2,446497
0.893,3,447049
0.894,3,447451
0.895,2,447836
0.896,2,448640
0.897,1,449172
0.898,4,449305
0.899,2,449732
0.9,2,450335
0.901,1,450961
0.902,1,451574
0.903,2,451974
0.904,2,452408
0.905,2,452692
0.906,2,453505
0.907,2,453792
0.908,1,454280
0.909,1,455004
0.91,1,455430
0.911,1,456142
0.912,2,456603
0.913,3,457066
0.914,1,457534
0.915,1,458345
0.916,1,458381
0.917,1,459080
0.918,3,459447
0.919,1,459886
0.92,1,460026
0.921,1,460863
0.922,1,461420
0.923,1,461757
0.924,1,462488
0.925,1,462977
0.926,1,463420
0.927,1,464147
0.928,1,464343
0.929,2,464953
0.93,1,465480
0.931,1,466092
0.932,2,466557
0.933,1,466823
0.934,1,467269
0.935,1,467801
0.936,1,468345
0.937,1,468904
0.938,1,469330
0.939,1,469941
0.94,2,470309
0.941,2,470895
0.942,1,471464
0.943,1,471812
0.944,1,472842
0.945,1,473038
0.946,1,473666
0.947,1,473736
0.948,1,474867
0.949,1,474748
0.95,1,475416
0.951,1,476227
0.952,1,476279
0.953,1,477323
0.954,2,477623
0.955,1,478049
0.956,1,478731
0.957,1,479010
0.958,1,479789
0.959,1,480099
0.96,1,480274
0.961,1,481137
0.962,1,481473
0.963,1,482091
0.964,1,482701
0.965,1,482823
0.966,1,483432
0.967,1,483857
0.968,1,484512
0.969,1,484899
0.97,1,485240
0.971,1,486054
0.972,1,486439
0.973,1,486843
0.974,1,487571
0.975,1,488096
0.976,1,488725
0.977,1,489070
0.978,1,489662
0.979,1,490067
0.98,1,490581
0.981,1,491092
0.982,1,491521
0.983,1,491825
0.984,1,492511
0.985,1,492960
0.986,1,493359
0.987,1,493995
0.988,1,494568
0.989,1,494971
0.99,1,495511
0.991,1,496091
0.992,1,496414
0.993,1,497056
0.994,1,497520
0.995,1,497952
0.996,1,498491
0.997,1,499021
0.998,1,499418
0.999,1,499987
1,1,500500
