Q,CC,MaxCC
0.348,55785,220911
0.349,55388,214873
0.35,54844,235989
0.351,54630,177220
0.352,53949,239918
0.353,53173,264375
0.354,52448,313588
0.355,51641,348473
0.356,51235,336406
0.357,50654,356912
0.358,50118,361261
0.359,49661,367294
0.36,48764,369034
0.361,48320,365267
0.362,47573,383234
0.363,47484,379605
0.364,46710,388788
0.365,46057,390997
0.366,45763,394585
0.367,44947,398637
0.368,44442,398561
0.369,44129,401306
0.37,43276,406634
0.371,42691,409894
0.372,42468,407859
0.373,41696,414377
0.374,41821,410374
0.375,41208,415464
0.376,40845,419615
0.377,40137,415264
0.378,39303,422844
0.379,38994,422701
0.38,38453,427241
0.381,38063,427852
0.382,38048,430917
0.383,37235,430954
0.384,36839,432290
0.385,36662,433128
0.386,35933,433031
0.387,35218,436298
0.388,35121,437682
0.389,34728,437413
0.39,34816,437210
0.391,33955,440607
0.392,34036,441629
0.393,32923,443069
0.394,32679,444359
0.395,32346,444395
0.396,31631,446435
0.397,32049,446063
0.398,31534,446775
0.399,30934,448171
0.4,30751,449814
0.401,30234,450795
0.402,29757,452243
0.403,29666,452169
0.404,29215,453263
0.405,28825,454045
0.406,28876,454262
0.407,28347,455852
0.408,27972,456684
0.409,27716,456865
0.41,27066,458206
0.411,26801,459068
0.412,26595,459531
0.413,26300,459993
0.414,26093,460353
0.415,25613,460974
0.416,25358,461620
0.417,25146,462183
0.418,24776,463862
0.419,24619,463027
0.42,24339,464223
0.421,23727,465579
0.422,23862,465145
0.423,23605,465756
0.424,23070,466775
0.425,22786,466829
0.426,22624,467500
0.427,22476,468400
0.428,21945,468724
0.429,22085,468748
0.43,21611,469460
0.431,21264,470372
0.432,21268,470035
0.433,20463,471959
0.434,20412,472000
0.435,20248,472134
0.436,20068,472508
0.437,19765,473006
0.438,19635,473131
0.439,19348,473520
0.44,19376,473760
0.441,18833,474431
0.442,18759,474391
0.443,18346,475021
0.444,18470,475079
0.445,18072,476028
0.446,17636,476678
0.447,17418,477056
0.448,17289,477220
0.449,17388,477098
0.45,17045,477401
0.451,17054,477560
0.452,16260,478917
0.453,16266,478824
0.454,15878,479352
0.455,16090,479316
0.456,15850,479564
0.457,15623,479863
0.458,15258,480368
0.459,15241,480437
0.46,14954,480760
0.461,14842,481253
0.462,14889,480916
0.463,14303,482192
0.464,14164,482343
0.465,14253,482253
0.466,13946,482561
0.467,13982,482212
0.468,13624,483053
0.469,13399,483575
0.47,13483,483388
0.471,12999,484006
0.472,12889,484103
0.473,12813,484163
0.474,12668,484409
0.475,12623,484788
0.476,12433,485105
0.477,12042,485377
0.478,11847,485729
0.479,11794,485547
0.48,11790,485676
0.481,11397,486263
0.482,11378,486307
0.483,11231,486660
0.484,11088,486746
0.485,10987,486906
0.486,10954,487034
0.487,10975,486941
0.488,10585,487556
0.489,10495,487540
0.49,10235,487963
0.491,10246,487917
0.492,10125,488057
0.493,9789,488582
0.494,9963,488337
0.495,9388,489272
0.496,9570,488947
0.497,9322,489101
0.498,9250,489315
0.499,9207,489404
0.5,9150,489533
0.501,9174,489532
0.502,8680,490117
0.503,8657,490205
0.504,8504,490320
0.505,8329,490685
0.506,8548,490263
0.507,8181,490776
0.508,8202,490853
0.509,8140,490879
0.51,8018,491000
0.511,7963,491209
0.512,7859,491242
0.513,7681,491464
0.514,7451,491734
0.515,7380,491857
0.516,7387,491863
0.517,7359,491918
0.518,7115,492198
0.519,7071,492295
0.52,6831,492596
0.521,6890,492493
0.522,6760,492709
0.523,6701,492828
0.524,6664,492750
0.525,6531,492968
0.526,6329,493231
0.527,6402,493153
0.528,6315,493212
0.529,6082,493520
0.53,6194,493380
0.531,6091,493520
0.532,5893,493876
0.533,5981,493662
0.534,5721,494000
0.535,5590,494072
0.536,5709,493965
0.537,5583,494130
0.538,5462,494308
0.539,5363,494387
0.54,5231,494499
0.541,5317,494483
0.542,5066,494698
0.543,5052,494810
0.544,5192,494698
0.545,4967,494863
0.546,5115,494762
0.547,4929,494905
0.548,4924,494984
0.549,4666,495318
0.55,4785,495080
0.551,4403,495605
0.552,4456,495515
0.553,4459,495494
0.554,4313,495689
0.555,4401,495571
0.556,4246,495777
0.557,4201,495822
0.558,4154,495939
0.559,4188,495861
0.56,4017,495972
0.561,3984,496093
0.562,3923,496098
0.563,3902,496200
0.564,3850,496221
0.565,3842,496207
0.566,3699,496399
0.567,3564,496599
0.568,3597,496510
0.569,3572,496547
0.57,3435,496699
0.571,3439,496729
0.572,3422,496744
0.573,3414,496718
0.574,3259,496942
0.575,3239,496955
0.576,3263,496914
0.577,3206,496971
0.578,3185,497022
0.579,3062,497112
0.58,3038,497198
0.581,2872,497386
0.582,2958,497301
0.583,2974,497280
0.584,2889,497327
0.585,2886,497349
0.586,2820,497433
0.587,2657,497602
0.588,2656,497643
0.589,2641,497627
0.59,2656,497671
0.591,2507,497814
0.592,2656,497629
0.593,2548,497729
0.594,2373,497958
0.595,2361,497967
0.596,2425,497897
0.597,2304,498011
0.598,2227,498120
0.599,2287,498048
0.6,2254,498106
0.601,2178,498182
0.602,2101,498224
0.603,2212,498111
0.604,2059,498277
0.605,2168,498178
0.606,2176,498174
0.607,1978,498382
0.608,1984,498392
0.609,1939,498425
0.61,1887,498498
0.611,1964,498411
0.612,1836,498564
0.613,1849,498551
0.614,1782,498592
0.615,1786,498599
0.616,1740,498656
0.617,1710,498691
0.618,1645,498763
0.619,1681,498728
0.62,1677,498716
0.621,1625,498769
0.622,1607,498801
0.623,1600,498817
0.624,1519,498903
0.625,1532,498870
0.626,1429,498981
0.627,1521,498903
0.628,1435,498985
0.629,1352,499072
0.63,1342,499078
0.631,1372,499052
0.632,1318,499105
0.633,1336,499087
0.634,1282,499147
0.635,1360,499070
0.636,1207,499218
0.637,1248,499199
0.638,1190,499230
0.639,1190,499266
0.64,1175,499261
0.641,1173,499278
0.642,1129,499322
0.643,1161,499284
0.644,1143,499311
0.645,1091,499358
0.646,1033,499423
0.647,1064,499411
0.648,1062,499382
0.649,1012,499459
0.65,997,499450
0.651,977,499492
0.652,908,499553
0.653,926,499526
0.654,905,499557
0.655,946,499509
0.656,900,499567
0.657,838,499629
0.658,884,499583
0.659,853,499610
0.66,837,499633
0.661,832,499633
0.662,838,499634
0.663,765,499714
0.664,749,499721
0.665,684,499792
0.666,722,499746
0.667,758,499725
0.668,714,499753
0.669,701,499770
0.67,674,499809
0.671,702,499775
0.672,677,499798
0.673,700,499775
0.674,666,499807
0.675,601,499878
0.676,628,499848
0.677,646,499834
0.678,592,499892
0.679,592,499893
0.68,579,499905
0.681,620,499857
0.682,545,499940
0.683,545,499942
0.684,573,499907
0.685,545,499944
0.686,525,499965
0.687,518,499970
0.688,545,499942
0.689,499,499985
0.69,474,500017
0.691,469,500016
0.692,477,500010
0.693,405,500090
0.694,435,500057
0.695,452,500042
0.696,441,500039
0.697,424,500064
0.698,365,500122
0.699,423,500067
0.7,423,500071
0.701,388,500106
0.702,359,500134
0.703,343,500153
0.704,341,500154
0.705,363,500131
0.706,331,500152
0.707,338,500156
0.708,341,500147
0.709,348,500143
0.71,325,500172
0.711,297,500198
0.712,286,500211
0.713,302,500196
0.714,288,500210
0.715,278,500217
0.716,279,500221
0.717,272,500222
0.718,291,500201
0.719,292,500206
0.72,267,500230
0.721,276,500217
0.722,280,500216
0.723,241,500255
0.724,268,500228
0.725,226,500272
0.726,244,500254
0.727,226,500263
0.728,212,500285
0.729,216,500280
0.73,219,500274
0.731,199,500301
0.732,222,500272
0.733,182,500316
0.734,173,500325
0.735,180,500317
0.736,193,500304
0.737,179,500317
0.738,176,500320
0.739,170,500327
0.74,165,500335
0.741,165,500336
0.742,178,500320
0.743,177,500322
0.744,174,500323
0.745,150,500348
0.746,150,500347
0.747,160,500338
0.748,141,500357
0.749,152,500348
0.75,150,500350
0.751,122,500378
0.752,110,500389
0.753,143,500357
0.754,136,500362
0.755,144,500357
0.756,120,500380
0.757,117,500383
0.758,102,500399
0.759,119,500382
0.76,104,500395
0.761,92,500408
0.762,95,500403
0.763,95,500406
0.764,96,500404
0.765,89,500411
0.766,94,500405
0.767,95,500405
0.768,104,500397
0.769,88,500412
0.77,89,500411
0.771,71,500429
0.772,57,500444
0.773,78,500421
0.774,64,500437
0.775,67,500434
0.776,74,500427
0.777,65,500435
0.778,86,500414
0.779,76,500424
0.78,63,500436
0.781,78,500423
0.782,66,500435
0.783,53,500447
0.784,52,500449
0.785,74,500427
0.786,63,500437
0.787,58,500443
0.788,59,500442
0.789,49,500452
0.79,52,500449
0.791,52,500448
0.792,44,500457
0.793,50,500451
0.794,41,500460
0.795,53,500448
0.796,42,500459
0.797,40,500461
0.798,56,500445
0.799,27,500474
0.8,32,500468
0.801,37,500464
0.802,34,500466
0.803,44,500457
0.804,40,500460
0.805,32,500469
0.806,33,500468
0.807,24,500476
0.808,41,500460
0.809,30,500470
0.81,21,500480
0.811,27,500474
0.812,25,500475
0.813,33,500468
0.814,29,500472
0.815,23,500478
0.816,24,500477
0.817,26,500474
0.818,14,500487
0.819,20,500481
0.82,20,500481
0.821,22,500479
0.822,22,500479
0.823,16,500485
0.824,18,500483
0.825,18,500483
0.826,21,500480
0.827,13,500488
0.828,27,500474
0.829,15,500486
0.83,12,500489
0.831,17,500484
0.832,15,500486
0.833,16,500485
0.834,16,500485
0.835,14,500487
0.836,18,500482
0.837,12,500489
0.838,13,500488
0.839,8,500493
0.84,8,500493
0.841,14,500487
0.842,9,500492
0.843,10,500491
0.844,7,500493
0.845,11,500490
0.846,17,500484
0.847,7,500494
0.848,10,500491
0.849,7,500494
0.85,11,500490
0.851,12,500489
0.852,7,500494
0.853,4,500497
0.854,9,500491
0.855,4,500497
0.856,7,500494
0.857,8,500493
0.858,7,500494
0.859,7,500494
0.86,7,500494
0.861,7,500494
0.862,7,500494
0.863,7,500494
0.864,3,500498
0.865,2,500499
0.866,5,500496
0.867,6,500495
0.868,3,500498
0.869,4,500497
0.87,6,500495
0.871,4,500497
0.872,2,500499
0.873,7,500494
0.874,4,500497
0.875,5,500496
0.876,3,500498
0.877,8,500492
0.878,5,500496
0.879,1,500500
0.88,3,500498
0.881,4,500497
0.882,2,500499
0.883,1,500500
0.884,4,500497
0.885,2,500499
0.886,3,500498
0.887,4,500497
0.888,1,500500
0.889,4,500497
0.89,2,500499
0.891,2,500499
0.892,2,500499
0.893,1,500500
0.894,2,500499
0.895,3,500498
0.896,1,500500
0.897,1,500500
0.898,2,500499
0.899,3,500498
0.9,2,500499
0.901,1,500500
0.902,1,500500
0.903,1,500500
0.904,1,500500
0.905,1,500500
0.906,1,500500
0.907,1,500500
0.908,3,500498
0.909,2,500499
0.91,1,500500
0.911,1,500500
0.912,1,500500
0.913,1,500500
0.914,2,500499
0.915,1,500500
0.916,1,500500
0.917,2,500499
0.918,1,500500
0.919,1,500500
0.92,2,500499
0.921,1,500500
0.922,1,500500
0.923,1,500500
0.924,2,500499
0.925,2,500499
0.926,2,500499
0.927,1,500500
0.928,2,500499
0.929,1,500500
0.93,1,500500
0.931,1,500500
0.932,1,500500
0.933,1,500500
0.934,1,500500
0.935,1,500500
0.936,1,500500
0.937,1,500500
0.938,1,500500
0.939,1,500500
0.94,1,500500
0.941,1,500500
0.942,2,500499
0.943,1,500500
0.944,1,500500
0.945,1,500500
0.946,2,500499
0.947,1,500500
0.948,1,500500
0.949,1,500500
0.95,1,500500
0.951,1,500500
0.952,1,500500
0.953,1,500500
0.954,1,500500
0.955,1,500500
0.956,1,500500
0.957,1,500500
0.958,1,500500
0.959,1,500500
0.96,1,500500
0.961,1,500500
0.962,1,500500
