Q,CC,MaxCC
0.354,119530,67
0.355,119491,69
0.356,118954,92
0.357,118836,65
0.358,118512,77
0.359,118001,68
0.36,118074,68
0.361,117690,88
0.362,117412,89
0.363,117055,76
0.364,117208,82
0.365,117025,78
0.366,116677,71
0.367,116325,81
0.368,116011,85
0.369,115304,96
0.37,115633,86
0.371,114769,85
0.372,114848,72
0.373,113882,84
0.374,114085,97
0.375,114006,108
0.376,113234,107
0.377,113686,106
0.378,113211,90
0.379,113434,95
0.38,112324,78
0.381,111636,99
0.382,112682,87
0.383,111975,107
0.384,111117,91
0.385,111777,106
0.386,111086,95
0.387,111116,107
0.388,110357,108
0.389,109995,124
0.39,109784,99
0.391,109108,94
0.392,108984,94
0.393,108917,123
0.394,108122,129
0.395,107697,97
0.396,107823,102
0.397,107011,105
0.398,107530,108
0.399,106738,123
0.4,106789,107
0.401,106187,152
0.402,105716,129
0.403,105126,102
0.404,105142,143
0.405,104417,120
0.406,104472,123
0.407,103617,171
0.408,103431,136
0.409,103083,169
0.41,103148,124
0.411,102895,173
0.412,102594,133
0.413,102104,179
0.414,101062,165
0.415,101089,134
0.416,100599,141
0.417,100560,143
0.418,99858,119
0.419,99935,137
0.42,99126,138
0.421,99310,171
0.422,98339,132
0.423,98311,182
0.424,97193,162
0.425,96777,159
0.426,97621,129
0.427,96911,186
0.428,96449,172
0.429,95930,146
0.43,95975,141
0.431,95022,188
0.432,95348,159
0.433,94292,176
0.434,94055,183
0.435,93717,194
0.436,92935,201
0.437,92547,206
0.438,92831,164
0.439,92244,191
0.44,91202,215
0.441,91658,177
0.442,91226,223
0.443,91161,191
0.444,89985,198
0.445,89767,187
0.446,88854,237
0.447,88591,185
0.448,88331,208
0.449,88061,191
0.45,87743,245
0.451,87420,220
0.452,86992,219
0.453,86978,298
0.454,85979,197
0.455,85314,229
0.456,84552,243
0.457,84754,225
0.458,84533,341
0.459,84084,219
0.46,82974,259
0.461,83118,286
0.462,82366,279
0.463,81866,260
0.464,81915,312
0.465,81746,298
0.466,80952,308
0.467,81214,374
0.468,80261,312
0.469,79195,280
