Valor,Indice
0,1000000
0.001,997944
0.002,995943
0.003,994110
0.004,991995
0.005,989988
0.006,988036
0.007,986122
0.008,984198
0.009,982115
0.01,980071
0.011,978037
0.012,975865
0.013,974233
0.014,972178
0.015,970378
0.016,967810
0.017,966191
0.018,964048
0.019,962025
0.02,960013
0.021,958038
0.022,955897
0.023,953972
0.024,952218
0.025,950074
0.026,947991
0.027,945953
0.028,943674
0.029,942031
0.03,940164
0.031,937746
0.032,936200
0.033,933982
0.034,931899
0.035,930167
0.036,927726
0.037,925685
0.038,924262
0.039,921938
0.04,920421
0.041,917858
0.042,916257
0.043,913750
0.044,912297
0.045,910133
0.046,908322
0.047,906443
0.048,904464
0.049,902876
0.05,900162
0.051,898109
0.052,896389
0.053,893895
0.054,892160
0.055,890146
0.056,888182
0.057,885875
0.058,884045
0.059,881511
0.06,879552
0.061,878663
0.062,876057
0.063,874349
0.064,872151
0.065,870218
0.066,867974
0.067,866519
0.068,864950
0.069,862761
0.07,860658
0.071,858321
0.072,856182
0.073,854657
0.074,851949
0.075,849661
0.076,848303
0.077,846447
0.078,844468
0.079,842525
0.08,840253
0.081,838237
0.082,835960
0.083,833723
0.084,831510
0.085,830044
0.086,827637
0.087,826824
0.088,824658
0.089,822715
0.09,820887
0.091,818357
0.092,816319
0.093,814593
0.094,812813
0.095,810267
0.096,807643
0.097,805649
0.098,804727
0.099,802574
0.1,800073
0.101,798374
0.102,796513
0.103,794974
0.104,791891
0.105,791192
0.106,788074
0.107,785892
0.108,784770
0.109,782506
0.11,780307
0.111,779060
0.112,776044
0.113,774789
0.114,772463
0.115,770692
0.116,769127
0.117,767157
0.118,764516
0.119,762418
0.12,760595
0.121,758327
0.122,756322
0.123,754635
0.124,751614
0.125,749916
0.126,748398
0.127,746222
0.128,745342
0.129,742494
0.13,741073
0.131,739145
0.132,736604
0.133,734372
0.134,732290
0.135,730849
0.136,728483
0.137,726164
0.138,725156
0.139,722334
0.14,721009
0.141,718795
0.142,716625
0.143,714807
0.144,712401
0.145,710515
0.146,708147
0.147,706936
0.148,704386
0.149,702684
0.15,700349
0.151,699374
0.152,697278
0.153,694873
0.154,693334
0.155,691436
0.156,688908
0.157,687132
0.158,684068
0.159,683434
0.16,681143
0.161,679026
0.162,676456
