Valor,Indice
0,0
0.001,983
0.002,2062
0.003,3048
0.004,3904
0.005,4963
0.006,5868
0.007,6959
0.008,7903
0.009,8850
0.01,9925
0.011,10926
0.012,11514
0.013,12751
0.014,13568
0.015,14717
0.016,15388
0.017,16367
0.018,17316
0.019,18468
0.02,19242
0.021,19978
0.022,21137
0.023,21980
0.024,22920
0.025,23565
0.026,24740
0.027,25739
0.028,26496
0.029,27646
0.03,28383
0.031,28983
0.032,29986
0.033,30828
0.034,31779
0.035,32544
0.036,33578
0.037,34348
0.038,35246
0.039,36061
0.04,36849
0.041,37364
0.042,38996
0.043,39377
0.044,40334
0.045,40972
0.046,41928
0.047,43015
0.048,43170
0.049,44215
0.05,45112
0.051,45945
0.052,46592
0.053,47523
0.054,48055
0.055,48638
0.056,49722
0.057,50617
0.058,51202
0.059,52223
0.06,52698
0.061,53401
0.062,54625
0.063,54926
0.064,56104
0.065,56377
0.066,57310
0.067,58590
0.068,58339
0.069,59555
0.07,59912
0.071,61370
0.072,61245
0.073,62331
0.074,62693
0.075,63445
0.076,64058
0.077,65012
0.078,66124
0.079,66611
0.08,67154
0.081,68219
0.082,68591
0.083,69379
0.084,70086
0.085,70252
0.086,71396
0.087,71577
0.088,72510
0.089,73108
0.09,73830
0.091,74800
0.092,75175
0.093,75771
0.094,76450
0.095,76752
0.096,77646
0.097,78175
0.098,78960
0.099,79688
0.1,79824
0.101,80639
0.102,81443
0.103,81849
0.104,82554
0.105,83462
0.106,83453
0.107,83864
0.108,84928
0.109,85001
0.11,86204
0.111,86813
0.112,87290
0.113,87363
0.114,87958
0.115,89061
0.116,89323
0.117,89950
0.118,90706
0.119,90681
0.12,91534
0.121,92250
0.122,92687
0.123,92751
0.124,93478
0.125,94297
0.126,95019
0.127,94990
0.128,95383
0.129,95900
0.13,96528
0.131,97232
0.132,97425
0.133,97673
0.134,98288
0.135,98795
0.136,99522
0.137,99520
0.138,100049
0.139,100613
0.14,101552
0.141,101745
0.142,102155
0.143,102413
0.144,103612
0.145,103531
0.146,103917
0.147,104169
0.148,104925
0.149,105419
0.15,105433
0.151,105898
0.152,106491
0.153,106550
0.154,107121
0.155,107710
0.156,107632
0.157,108459
0.158,108696
0.159,109208
0.16,109469
0.161,110373
0.162,110294
0.163,110715
0.164,110778
0.165,111362
0.166,111476
0.167,111519
0.168,112626
0.169,112540
0.17,113410
0.171,113437
0.172,113451
0.173,114210
0.174,114494
0.175,114621
0.176,115086
0.177,115219
0.178,115429
0.179,116056
0.18,116233
0.181,116415
0.182,116830
0.183,117400
0.184,117007
0.185,117665
0.186,118081
0.187,118021
0.188,118385
0.189,118532
0.19,118950
0.191,119512
0.192,119912
0.193,119792
0.194,120272
0.195,120218
0.196,120824
0.197,121088
0.198,121148
0.199,121270
0.2,121543
0.201,122254
0.202,122467
0.203,122242
0.204,122266
0.205,123506
0.206,122553
0.207,123103
0.208,123135
0.209,123528
0.21,123732
0.211,124032
0.212,124479
0.213,124234
0.214,124849
0.215,124662
0.216,125340
0.217,125155
0.218,125362
0.219,125268
0.22,125512
0.221,126083
0.222,126235
0.223,126107
0.224,126031
0.225,126414
0.226,126183
0.227,126835
0.228,126543
0.229,127490
0.23,127441
0.231,127043
0.232,127435
0.233,127617
0.234,127584
0.235,127581
0.236,128263
0.237,127571
0.238,128461
0.239,128642
0.24,128023
0.241,128340
0.242,128535
0.243,128580
0.244,128371
0.245,128889
0.246,128523
0.247,128916
0.248,128952
0.249,128864
0.25,129076
0.251,129120
0.252,128841
0.253,129291
0.254,128997
0.255,129667
0.256,129129
0.257,129464
0.258,129287
0.259,129605
0.26,129472
0.261,129484
0.262,129542
0.263,129335
0.264,129459
0.265,129663
0.266,129408
0.267,129380
0.268,130047
0.269,129603
0.27,129972
0.271,129766
0.272,129671
0.273,129693
0.274,129647
0.275,129992
0.276,129553
0.277,129781
0.278,129262
0.279,129944
0.28,129578
0.281,129607
0.282,129160
0.283,129222
0.284,129647
0.285,128963
0.286,128968
0.287,128823
0.288,129047
0.289,129282
0.29,128696
0.291,129498
0.292,129065
0.293,128932
0.294,128642
0.295,128377
0.296,128909
0.297,128319
0.298,128275
0.299,127829
0.3,128563
0.301,128220
0.302,127601
0.303,127891
0.304,128236
0.305,127674
0.306,127687
0.307,127200
0.308,128043
0.309,127361
0.31,127682
0.311,127019
0.312,127210
0.313,126779
0.314,126518
0.315,127004
0.316,126167
0.317,126767
0.318,126566
0.319,125881
