Valor,Indice
0,250000
0.001,249506
0.002,249050
0.003,248486
0.004,248025
0.005,247446
0.006,246959
0.007,246548
0.008,246006
0.009,245492
0.01,244864
0.011,244687
0.012,244005
0.013,243475
0.014,242930
0.015,242489
0.016,242056
0.017,241375
0.018,240866
0.019,240441
0.02,239852
0.021,239546
0.022,239088
0.023,238456
0.024,238068
0.025,237532
0.026,237091
0.027,236467
0.028,235987
0.029,235456
0.03,234765
0.031,234645
0.032,233981
0.033,233630
0.034,232981
0.035,232544
0.036,232112
0.037,231384
0.038,231219
0.039,230467
0.04,230025
0.041,229560
0.042,229015
0.043,228375
0.044,228235
0.045,227466
0.046,227068
0.047,226630
0.048,226103
0.049,225702
0.05,224914
0.051,224580
0.052,224135
0.053,223521
0.054,223032
0.055,222673
0.056,221972
0.057,221813
0.058,220912
0.059,220188
0.06,219850
0.061,219767
0.062,219325
0.063,218099
0.064,218335
0.065,217564
0.066,216974
0.067,216550
0.068,216189
0.069,215863
0.07,215364
0.071,214916
0.072,214125
0.073,213675
0.074,213111
0.075,212650
0.076,212246
0.077,211677
0.078,210903
0.079,210369
0.08,209833
0.081,209370
0.082,208892
0.083,208882
0.084,207913
0.085,207853
0.086,206906
0.087,206686
0.088,206063
0.089,205353
0.09,205273
0.091,204472
0.092,204348
0.093,203684
0.094,203050
0.095,202333
0.096,202058
0.097,201495
0.098,200928
0.099,200624
0.1,200279
0.101,199661
0.102,199202
0.103,198542
0.104,198231
0.105,197700
0.106,197005
0.107,196784
0.108,195825
0.109,195635
0.11,195262
0.111,194634
0.112,194226
0.113,193662
0.114,193109
0.115,192693
0.116,191907
0.117,191632
0.118,191527
0.119,190507
0.12,189654
0.121,189580
0.122,189090
0.123,188637
0.124,188384
0.125,187815
0.126,186880
0.127,186208
0.128,185784
0.129,185931
0.13,185368
0.131,184454
0.132,184102
0.133,183894
0.134,183143
0.135,182696
0.136,182337
0.137,181755
0.138,180705
0.139,181126
0.14,180351
0.141,179742
0.142,179428
0.143,178782
0.144,178156
0.145,177230
0.146,177461
0.147,176824
0.148,176492
0.149,175907
0.15,175295
0.151,174632
0.152,173909
0.153,173670
0.154,173404
0.155,172879
0.156,172544
0.157,171913
0.158,171434
0.159,170680
0.16,170484
0.161,169477
0.162,169367
0.163,168694
0.164,168525
0.165,167558
0.166,167106
0.167,167213
0.168,166640
0.169,165514
0.17,165409
0.171,165088
0.172,164544
0.173,163931
0.174,163269
0.175,162617
0.176,162450
0.177,161866
0.178,161264
0.179,160409
0.18,160351
0.181,159813
0.182,159553
0.183,159272
0.184,158441
0.185,157738
0.186,157799
0.187,157242
0.188,156523
0.189,156035
0.19,155443
0.191,154437
0.192,154452
0.193,154139
0.194,153585
0.195,152811
0.196,152813
0.197,151580
0.198,151384
0.199,150675
0.2,151013
0.201,150292
0.202,149845
0.203,149572
0.204,148836
0.205,148236
0.206,148171
0.207,147556
0.208,146400
0.209,146342
0.21,145895
0.211,145612
0.212,144884
0.213,144290
0.214,143592
0.215,143387
0.216,142464
0.217,142473
0.218,142529
0.219,141192
0.22,140787
0.221,140471
0.222,139922
0.223,139450
0.224,139094
0.225,138251
0.226,137616
0.227,137428
0.228,137274
0.229,136480
0.23,136262
0.231,135616
0.232,134769
0.233,134447
0.234,134239
0.235,132938
0.236,133026
0.237,132244
0.238,131926
0.239,131392
0.24,131583
0.241,130916
0.242,130147
0.243,129560
0.244,129586
0.245,128621
0.246,129216
0.247,128347
0.248,127287
0.249,127216
0.25,126540
0.251,125373
0.252,125058
0.253,124925
0.254,124229
0.255,124038
0.256,123484
0.257,122715
0.258,122137
0.259,121531
0.26,121216
0.261,120203
0.262,120394
0.263,119951
0.264,119225
0.265,118923
