Q,CC,MaxCC
0.354,313936,168
0.355,311502,191
0.356,308790,220
0.357,306658,238
0.358,304234,217
0.359,302924,201
0.36,301351,168
0.361,300367,225
0.362,298641,183
0.363,296757,197
0.364,293359,263
0.365,292485,193
0.366,290052,200
0.367,289618,227
0.368,287701,205
0.369,287005,251
0.37,285024,208
0.371,281827,216
0.372,282097,216
0.373,279413,266
0.374,277153,296
0.375,275867,274
0.376,274537,260
0.377,273073,236
0.378,271247,271
0.379,268772,264
0.38,267169,395
0.381,264909,356
0.382,264359,272
0.383,262284,259
0.384,260260,280
0.385,259115,324
0.386,256751,317
0.387,256223,288
0.388,253691,313
0.389,253045,336
0.39,251499,339
0.391,248377,317
0.392,248111,285
0.393,243792,346
0.394,244657,350
0.395,243342,386
0.396,240873,350
0.397,239332,456
0.398,237101,603
0.399,235356,383
0.4,234388,314
0.401,233600,452
0.402,231788,537
0.403,230064,577
0.404,229054,410
0.405,227237,395
0.406,224498,519
0.407,222698,440
0.408,221918,430
0.409,219374,456
0.41,218271,611
0.411,216757,772
0.412,214587,456
0.413,214348,579
0.414,211778,444
0.415,210886,718
0.416,209867,668
0.417,207619,614
0.418,205805,596
0.419,204265,793
0.42,202743,568
0.421,201765,876
0.422,200234,766
0.423,199205,734
0.424,197218,626
0.425,195634,646
0.426,193384,654
0.427,192585,733
0.428,191289,741
0.429,189912,656
0.43,187903,838
0.431,187202,776
0.432,185499,695
0.433,183800,802
0.434,182376,884
0.435,181400,875
0.436,180168,1070
0.437,178443,1033
0.438,176497,1315
0.439,175429,1170
0.44,172962,1164
0.441,172034,1664
0.442,171237,1641
0.443,169781,1014
0.444,166358,1706
0.445,166122,1247
0.446,164997,1564
0.447,163021,1333
0.448,162604,1439
0.449,160580,1330
0.45,158775,1482
0.451,157180,1424
0.452,156754,3104
0.453,154089,2193
0.454,153802,1987
0.455,152653,2212
0.456,150583,2035
0.457,149630,2232
0.458,148932,2142
0.459,146385,2943
0.46,145318,2831
0.461,144245,2835
0.462,142699,2927
0.463,141619,4068
0.464,141061,2971
0.465,139175,4327
0.466,137513,3668
0.467,136718,3933
0.468,135321,4477
0.469,133949,4996
0.47,132497,5756
0.471,130997,9036
0.472,130260,8409
0.473,130297,7543
0.474,127749,6535
0.475,126388,6718
0.476,125391,5520
0.477,124538,8160
0.478,122916,7589
0.479,122491,12171
0.48,120543,12349
0.481,119556,11712
0.482,118463,10175
0.483,117688,14653
0.484,115855,15369
0.485,114942,16701
0.486,114196,16495
0.487,112260,26644
0.488,111689,35568
0.489,110721,37987
0.49,109480,29800
0.491,107915,33869
0.492,106289,34665
0.493,105932,77493
0.494,105491,82432
0.495,103364,104265
0.496,102320,88953
0.497,102075,100252
0.498,100509,152354
0.499,99721,352231
0.5,98698,435207
0.501,97774,327002
0.502,97013,309681
0.503,95307,585464
0.504,95076,505143
0.505,94519,617181
0.506,92152,668671
0.507,91569,659914
0.508,90881,630271
0.509,89347,707785
0.51,88669,722196
0.511,88035,724567
0.512,86866,724112
0.513,86700,748732
0.514,85712,747141
0.515,85364,750337
0.516,83886,753388
0.517,83150,770468
0.518,82555,767597
0.519,81133,778440
0.52,79984,780229
0.521,79758,786891
0.522,78172,801148
0.523,78211,802435
0.524,77016,805678
0.525,76304,811114
0.526,75764,814160
0.527,74806,821411
0.528,74249,826802
0.529,73679,827983
0.53,72677,829720
0.531,71948,836406
0.532,71318,839357
0.533,70535,841278
0.534,69563,844917
0.535,69196,850290
0.536,68254,853369
0.537,67554,852828
0.538,66232,858855
0.539,66561,859970
0.54,65715,859782
0.541,64280,866103
0.542,63646,869632
0.543,63192,869818
0.544,62829,872233
0.545,61864,875329
0.546,60994,879133
0.547,60988,879441
0.548,59681,880045
0.549,59893,882440
0.55,58974,882397
0.551,58407,888419
0.552,57781,889170
0.553,56803,890731
0.554,56259,894048
0.555,55764,895862
0.556,55225,897222
0.557,54257,899322
0.558,53815,901503
0.559,53418,902764
0.56,52775,903091
0.561,52644,905528
0.562,51647,907260
0.563,51618,907053
0.564,50804,909381
0.565,50332,911032
0.566,49673,911783
0.567,49267,914167
0.568,48476,914978
0.569,48051,916806
0.57,47247,919712
0.571,46645,920554
0.572,46534,919934
0.573,46075,921074
0.574,45651,922649
0.575,45248,923887
0.576,44268,925712
0.577,44055,926385
0.578,43459,927398
0.579,43324,928357
0.58,42448,930820
0.581,42198,930473
0.582,41524,932253
0.583,41139,932917
0.584,40552,933876
0.585,40023,935827
0.586,39830,936074
0.587,39597,936576
0.588,39335,936968
0.589,38700,938541
0.59,37852,940048
0.591,37830,940576
0.592,36920,942160
0.593,36694,942412
0.594,36550,943442
0.595,35860,944625
0.596,35666,944619
0.597,35374,945648
0.598,34906,946133
0.599,34317,947389
0.6,33769,948082
0.601,33783,949236
0.602,33442,949663
0.603,33269,949662
0.604,32485,950607
0.605,32539,951000
0.606,32174,951701
0.607,31466,953146
0.608,31351,953724
0.609,30531,954819
0.61,30747,954426
0.611,29840,955473
0.612,29817,956184
0.613,29459,957222
0.614,28517,958696
0.615,28106,959171
0.616,27916,959911
0.617,27992,959014
0.618,27694,959791
0.619,27535,960822
0.62,27030,961380
0.621,26806,961666
0.622,26253,962546
0.623,26215,962830
0.624,25895,963238
0.625,25491,964249
0.626,25113,964442
0.627,24618,965353
0.628,24741,965251
0.629,24035,966503
0.63,23889,966945
0.631,23620,967224
0.632,23170,968431
0.633,23231,968030
0.634,22748,968630
0.635,22696,969007
0.636,22362,969163
0.637,21803,970012
0.638,21813,970219
0.639,21582,970457
0.64,20937,971743
0.641,20943,971654
0.642,20852,971909
0.643,20189,972750
0.644,20203,972806
0.645,20216,972942
0.646,19506,973819
0.647,19756,973688
0.648,19062,974655
0.649,18906,974928
0.65,18371,975762
0.651,18387,975784
0.652,18279,975625
